"","V1","V2","V3"
"SI_TOT_OD_mean","335.3125","334.0833","334.4167"
"SI_NFL_OD_mean","24.12500","23.41667","22.75000"
"SI_(GCL-IPL)_OD_mean","87.81250","89.50000","89.83333"
"SI_INL_OD_mean","41.43750","41.41667","40.66667"
"SI_ORT_OD_mean","115.3750","114.8333","114.5833"
"SO_TOT_OD_mean","290.4375","289.7500","291.0000"
"SO_NFL_OD_mean","38.68750","36.33333","36.66667"
"SO_(GCL-IPL)_OD_mean","57.00000","59.41667","59.25000"
"SO_INL_OD_mean","30.87500","30.50000","31.08333"
"SO_ORT_OD_mean","97.56250","97.66667","98.83333"
"NI_TOT_OD_mean","339.1875","337.4167","333.2500"
"NI_NFL_OD_mean","21.68750","20.41667","19.91667"
"NI_(GCL-IPL)_OD_mean","88.8125","88.2500","88.2500"
"NI_INL_OD_mean","41.50000","41.58333","40.41667"
"NI_ORT_OD_mean","121.3125","121.0000","119.1667"
"NO_TOT_OD_mean","305.2500","305.0000","304.4167"
"NO_NFL_OD_mean","48.87500","46.75000","46.33333"
"NO_(GCL-IPL)_OD_mean","61.06250","62.58333","62.75000"
"NO_INL_OD_mean","33.62500","32.66667","32.75000"
"NO_ORT_OD_mean","97.50000","97.91667","97.58333"
"II_TOT_OD_mean","334.1875","332.4167","328.3333"
"II_NFL_OD_mean","24.18750","24.00000","22.66667"
"II_(GCL-IPL)_OD_mean","87.87500","88.08333","87.41667"
"II_INL_OD_mean","41.75000","39.91667","40.50000"
"II_ORT_OD_mean","115.0000","115.5000","113.1667"
"IO_TOT_OD_mean","282.0625","282.0833","278.3333"
"IO_NFL_OD_mean","37.50000","38.08333","36.41667"
"IO_(GCL-IPL)_OD_mean","58.37500","58.41667","56.75000"
"IO_INL_OD_mean","31.31250","30.41667","30.75000"
"IO_ORT_OD_mean","92.56250","91.25000","91.16667"
"TI_TOT_OD_mean","326.1250","323.8333","317.2500"
"TI_NFL_OD_mean","16.81250","17.25000","16.91667"
"TI_(GCL-IPL)_OD_mean","85.81250","84.66667","81.25000"
"TI_INL_OD_mean","38.68750","39.08333","37.58333"
"TI_ORT_OD_mean","118.6875","117.0833","116.5000"
"TO_TOT_OD_mean","275.1250","276.2500","273.4167"
"TO_NFL_OD_mean","18.75000","18.91667","18.25000"
"TO_(GCL-IPL)_OD_mean","62.93750","64.58333","63.41667"
"TO_INL_OD_mean","32.62500","32.25000","32.33333"
"TO_ORT_OD_mean","96.25000","95.33333","95.08333"
"CSF_TOT_OS_mean","279.6250","286.0000","264.8333"
"CSF_NFL_OS_mean","13.56250","14.50000","12.41667"
"CSF_(GCL-IPL)_OS_mean","38.12500","40.66667","33.50000"
"CSF_INL_OS_mean","22.50000","25.25000","19.91667"
"CSF_ORT_OS_mean","136.125","136.000","132.000"
"SI_TOT_OS_mean","332.25","336.75","326.50"
"SI_NFL_OS_mean","23.87500","23.58333","22.91667"
"SI_(GCL-IPL)_OS_mean","86.31250","86.91667","86.25000"
"SI_INL_OS_mean","41.6875","42.0000","40.0000"
"SI_ORT_OS_mean","114.6875","117.5833","112.7500"
"SO_TOT_OS_mean","288.7500","296.4167","286.0833"
"SO_NFL_OS_mean","37.56250","37.91667","37.25000"
"SO_(GCL-IPL)_OS_mean","56.8125","60.7500","58.0000"
"SO_INL_OS_mean","31.12500","31.41667","30.00000"
"SO_ORT_OS_mean"," 98.06250","100.50000"," 96.41667"
"NI_TOT_OS_mean","336.6250","337.9167","328.5833"
"NI_NFL_OS_mean","20.68750","23.16667","19.41667"
"NI_(GCL-IPL)_OS_mean","87.93750","86.33333","87.50000"
"NI_INL_OS_mean","42.375","42.000","39.250"
"NI_ORT_OS_mean","119.6875","119.9167","117.5833"
"NO_TOS_OS_mean","301.3750","305.4167","296.8333"
"NO_NFL_OS_mean","48.93750","50.83333","48.25000"
"NO_GCL-IPL)_OS_mean","58.81250","59.41667","59.58333"
"NO_INL_OS_mean","33.43750","33.08333","32.00000"
"NO_ORT_OS_mean","89.12500","96.66667","93.00000"
"II_TOT_OS_mean","329.7500","329.9167","324.4167"
"II_NFL_OS_mean","23.75000","25.16667","23.50000"
"II_(GCL-IPL)_OS_mean","84.56250","82.08333","85.83333"
"II_INL_OS_mean","42.0625","41.5000","39.2500"
"II_ORT_OS_mean","113.6875","115.7500","112.5000"
"IO_TOT_OS_mean","282.3125","282.5000","277.0833"
"IO_NFL_OS_mean","37.87500","39.08333","38.00000"
"IO_(GCL-IPL)_OS_mean","57.375","56.500","56.500"
"IO_INL_OS_mean","31.25000","30.00000","29.83333"
"IO_ORT_OS_mean","91.56250","92.16667","99.66667"
"TI_TOT_OS_mean","321.8125","324.1667","317.4167"
"TI_NFL_OS_mean","17.68750","18.41667","17.41667"
"TI_(GCL-IPL)_OS_mean","81.75000","80.33333","80.66667"
"TI_INL_OS_mean","37.12500","37.83333","35.25000"
"TI_ORT_OS_mean","118.1875","120.3333","117.6667"
"TO_TOT_OS_mean","277.8750","284.5833","276.5000"
"TO_NFL_OS_mean","19.75000","20.75000","19.83333"
"TO_(GCL-IPL)_OS_mean","63.18750","66.25000","63.16667"
"TO_INL_OS_mean","32.8125","32.7500","31.2500"
"TO_OR_OS_mean","97.31250","99.41667","95.83333"
"heart_rate_sd"," 7.905431","12.551711"," 7.848953"
"MAP_sd","11.694550","15.942308"," 8.686458"
"SBP_sd","25.42669","18.99442","20.37155"
"BMI_sd","7.602182","5.882396","3.815389"
"HbA1c_sd","0.2594064","1.1277156","0.2234373"
"BUN_sd","4.045059","5.213619","6.105139"
"Cr_sd","0.2264766","0.2480225","0.3450955"
"BUN/Cr_sd","3.816084","2.998737","5.033223"
"HDL_sd","22.35910","15.44197","16.86039"
"LDL_sd","29.01235","23.65792","26.61894"
"Triglycerides_sd","44.13969","43.13420","39.51485"
"Cholesterol_sd","40.33197","23.37620","27.78883"
"NEFA_sd","0.2211300","0.3132745","0.2202968"
"Glucose_sd","24.62831","28.32414","10.32736"
"Ketone_sd","0.35162911","0.06555474","0.04030894"
"Insulin_sd"," 8.524563","25.623065","34.903184"
"Adiponectin_sd","8.687511","9.339039","9.280763"
"Leptin_sd","21.90883","12.33036","10.42255"
"RAGE_sd","3.047933","8.984779","3.663867"
"CSF_TOT_OD_sd","34.22670","20.82757","10.53853"
"CSF_NFL_OD_sd","2.408319","2.037527","2.329000"
"CSF_(GCL-IPL)_OD_sd","10.981803"," 7.072675"," 4.569331"
"CSF_INL_OD_sd","6.800735","5.545268","6.141636"
"CSF_ORT_OD_sd","19.34845","13.62373","10.68098"
"SI_TOT_OD_sd","16.26743","16.77367","17.22291"
"SI_NFL_OD_sd","3.997916","3.028901","1.602555"
"SI_(GCL-IPL)_OD_sd","9.130307","9.298094","7.456947"
"SI_INL_OD_sd","4.114507","4.679905","4.097301"
"SI_ORT_OD_sd","9.408330","7.234178","6.841828"
"SO_TOT_OD_sd","12.90978","14.52975","16.01704"
"SO_NFL_OD_sd","6.498397","3.725425","2.806918"
"SO_(GCL-IPL)_OD_sd","5.761944","5.664215","5.276449"
"SO_INL_OD_sd","1.962142","2.022600","2.678478"
"SO_ORT_OD_sd","7.311806","7.749878","9.466048"
"NI_TOT_OD_sd","19.34673","15.28789","17.23698"
"NI_NFL_OD_sd","4.331570","1.928652","1.928652"
"NI_(GCL-IPL)_OD_sd","10.258127"," 8.400487"," 7.312816"
"NI_INL_OD_sd","4.147288","4.944388","5.142662"
"NI_ORT_OD_sd","9.843568","8.168676","7.649520"
"NO_TOT_OD_sd","17.41455","15.36229","15.78525"
"NO_NFL_OD_sd","7.209947","5.940998","4.185111"
"NO_(GCL-IPL)_OD_sd","8.053726","6.501165","4.575130"
"NO_INL_OD_sd","2.500000","2.015095","2.179449"
"NO_ORT_OD_sd","8.262364","9.238834","9.922045"
"II_TOT_OD_sd","18.95334","17.46403","15.14376"
"II_NFL_OD_sd","3.936475","3.190896","2.015095"
"II_(GCL-IPL)_OD_sd","11.074746"," 8.596599"," 7.704288"
"II_INL_OD_sd","3.872983","4.907477","3.503245"
"II_ORT_OD_sd","9.136009","7.716570","8.881373"
"IO_TOT_OD_sd","14.38272","15.18647","16.14893"
"IO_NFL_OD_sd","7.099296","5.264950","7.751344"
"IO_(GCL-IPL)_OD_sd","6.652067","6.359793","5.545268"
"IO_INL_OD_sd","1.990603","2.274696","2.958040"
"IO_ORT_OD_sd","7.247701","8.225515","8.684713"
"TI_TOT_OD_sd","20.64582","16.92139","15.48093"
"TI_NFL_OD_sd","2.400521","1.912875","1.083625"
"TI_(GCL-IPL)_OD_sd","11.674581"," 9.354953"," 9.126634"
"TI_INL_OD_sd","3.842200","5.053502","3.553701"
"TI_ORT_OD_sd","9.075379","5.915439","7.280110"
"TO_TOT_OD_sd","11.99931","14.14294","16.88172"
"TO_NFL_OD_sd","2.265686","1.831955","1.544786"
"TO_(GCL-IPL)_OD_sd","5.259515","6.200562","6.515134"
"TO_INL_OD_sd","2.446085","2.301185","2.839121"
"TO_ORT_OD_sd","7.886698","7.075352","8.349832"
"CSF_TOT_OS_sd","20.28094","30.51378","20.68303"
"CSF_NFL_OS_sd","2.159282","6.612660","1.975225"
"CSF_(GCL-IPL)_OS_sd"," 7.338256","17.849540"," 7.403930"
"CSF_INL_OS_sd","5.019960","7.059809","5.775471"
"CSF_ORT_OS_sd"," 9.871677","11.393778","13.402849"
"SI_TOT_OS_sd","12.69383","14.00730","10.16679"
"SI_NFL_OS_sd","2.895399","3.369875","2.678478"
"SI_(GCL-IPL)_OS_sd","6.886884","7.833011","6.552238"
"SI_INL_OS_sd","3.978589","5.477226","3.104249"
"SI_ORT_OS_sd","9.589708","9.394954","8.080560"
"SO_TOT_OS_sd","11.795479","19.974795"," 9.802211"
"SO_NFL_OS_sd","6.975851","5.264950","3.768892"
"SO_(GCL-IPL)_OS_sd","5.218157","6.956031","4.690416"
"SO_INL_OS_sd","2.848976","2.810963","2.044949"
"SO_ORT_OS_sd","8.119678","9.765431","6.402533"
"NI_TOT_OS_sd","14.44472","13.02765","11.25295"
"NI_NFL_OS_sd","1.887459","8.099757","2.609714"
"NI_(GCL-IPL)_OS_sd","7.379871","9.920899","7.669301"
"NI_INL_OS_sd","4.897278","5.783990","2.598076"
"NI_ORT_OS_sd","8.715647","9.709024","9.500797"
"NO_TOS_OS_sd","14.41238","17.70187","10.28532"
"NO_NFL_OS_sd"," 6.668021","12.932224"," 5.894913"
"NO_GCL-IPL)_OS_sd","4.982887","6.598324","4.399552"
"NO_INL_OS_sd","2.657536","4.481443","2.256304"
"NO_ORT_OS_sd","25.16843","13.04770"," 7.00649"
"II_TOT_OS_sd","15.39480","14.93902","11.09839"
"II_NFL_OS_sd","3.511885","7.673251","2.067058"
"II_(GCL-IPL)_OS_sd","7.051891","9.307459","6.562058"
"II_INL_OS_sd","4.281258","5.728716","2.895922"
"II_ORT_OS_sd","10.467211"," 9.696532","10.638694"
"IO_TOT_OS_sd","14.07939","16.54471","12.19880"
"IO_NFL_OS_sd","6.280923","9.159777","4.177864"
"IO_(GCL-IPL)_OS_sd","5.402160","7.452882","4.641708"
"IO_INL_OS_sd","1.483240","2.796101","2.249579"
"IO_ORT_OS_sd"," 7.899103","10.861386","33.399329"
"TI_TOT_OS_sd","13.82374","14.52793","13.54762"
"TI_NFL_OS_sd","1.5370426","3.2039275","0.9962049"
"TI_(GCL-IPL)_OS_sd","7.576279","8.584694","7.655460"
"TI_INL_OS_sd","3.630886","3.904155","3.792936"
"TI_ORT_OS_sd"," 8.215585"," 6.665151","12.160542"
"TO_TOT_OS_sd","13.30100","17.18593","15.30597"
"TO_NFL_OS_sd","1.483240","3.107908","1.337116"
"TO_(GCL-IPL)_OS_sd","5.588306","7.325237","5.718126"
"TO_INL_OS_sd","2.315707","2.005674","2.005674"
"TO_OR_OS_sd","8.211526","8.511579","8.674239"
