"","Min","Max","Median","Mean","SD","N"
"IO_INL_OD",26,37,31,30.88,2.37,40
"IO_ORT_OD",75,108,92,91.75,7.81,40
"TI_TOT_OD",284,380,321,322.78,18.07,40
"TI_NFL_OD",11,23,17,16.98,1.9,40
"TI_(GCL-IPL)_OD",66,110,83,84.1,10.22,40
"TI_INL_OD",31,49,38,38.48,4.1,40
"TI_ORT_OD",97,133,118.5,117.55,7.58,40
"TO_TOT_OD",253,307,272,274.95,13.91,40
"TO_NFL_OD",15,26,18,18.65,1.92,40
"TO_(GCL-IPL)_OD",51,74,63,63.58,5.83,40
"TO_INL_OD",28,38,32,32.42,2.47,40
"TO_ORT_OD",75,113,96,95.62,7.61,40
"CSF_TOT_OS",231,356,277,277.1,24.79,40
"CSF_NFL_OS",8,35,13,13.5,3.99,40
"CSF_(GCL-IPL)_OS",23,91,36.5,37.5,11.58,40
"CSF_INL_OS",10,37,22,22.55,6.13,40
"CSF_ORT_OS",113,166,133.5,134.85,11.33,40
"SI_TOT_OS",301,350,331,331.88,12.76,40
"SI_NFL_OS",19,32,23,23.5,2.94,40
"SI_(GCL-IPL)_OS",75,98,87,86.47,6.91,40
"SI_INL_OS",33,55,41,41.27,4.24,40
"SI_ORT_OS",92,136,115,114.97,9.07,40
"SO_TOT_OS",270,340,286.5,290.25,14.53,40
"SO_NFL_OS",29,53,36,37.58,5.53,40
"SO_(GCL-IPL)_OS",48,76,57.5,58.35,5.75,40
"SO_INL_OS",25,37,31,30.88,2.62,40
"SO_ORT_OS",77,120,98,98.3,8.15,40
"NI_TOT_OS",302,354,335,334.6,13.42,40
"NI_NFL_OS",16,48,20,21.05,4.9,40
"NI_(GCL-IPL)_OS",71,99,88.5,87.33,8.11,40
"NI_INL_OS",34,55,41,41.33,4.74,40
"NI_ORT_OS",104,140,119.5,119.12,9.07,40
"NO_TOS_OS",267,339,299.5,301.22,14.47,40
"NO_NFL_OS",35,84,50.5,49.3,8.67,40
"NO_GCL-IPL)_OS",49,71,60,59.23,5.24,40
"NO_INL_OS",27,45,33,32.9,3.19,40
"NO_ORT_OS",0,128,95,92.55,17.76,40
"II_TOT_OS",293,353,327.5,328.2,13.97,40
"II_NFL_OS",18,48,23,24.1,4.8,40
"II_(GCL-IPL)_OS",68,98,85,84.2,7.61,40
"II_INL_OS",31,51,40.5,41.05,4.49,40
"II_ORT_OS",94,135,113.5,113.95,10.11,40
"IO_TOT_OS",250,309,279,280.8,14.19,40
"IO_NFL_OS",29,63,38,38.27,6.64,40
"IO_(GCL-IPL)_OS",45,72,55,56.85,5.76,40
"IO_INL_OS",25,35,31,30.45,2.22,40
"IO_ORT_OS",74,203,91,94.17,19.63,40
"TI_TOT_OS",289,345,321.5,321.2,13.86,40
"TI_NFL_OS",15,27,17,17.82,2.06,40
"TI_(GCL-IPL)_OS",67,94,80,81,7.73,40
"TI_INL_OS",28,45,37,36.77,3.81,40
"TI_ORT_OS",101,150,118,118.67,9.03,40
"TO_TOT_OS",252,317,274.5,279.48,15.14,40
"TO_NFL_OS",17,29,20,20.08,2.07,40
"TO_(GCL-IPL)_OS",54,78,63,64.1,6.2,40
"TO_INL_OS",28,37,33,32.33,2.2,40
"TO_OR_OS",75,116,96.5,97.5,8.34,40
