"","V1","V2","V3"
"SI_(GCL-IPL)_OD_mean","88.06667","89.50000","89.70000"
"SI_INL_OD_mean","41.46667","41.41667","40.60000"
"SI_ORT_OD_mean","115.1333","114.8333","113.7000"
"SO_TOT_OD_mean","289.4667","289.7500","287.5000"
"SO_NFL_OD_mean","38.80000","36.33333","36.90000"
"SO_(GCL-IPL)_OD_mean","57.13333","59.41667","59.10000"
"SO_INL_OD_mean","30.8","30.5","30.7"
"SO_ORT_OD_mean","97.46667","97.66667","96.50000"
"NI_TOT_OD_mean","340.2143","337.4167","327.8889"
"NI_NFL_OD_mean","21.92857","20.41667","19.66667"
"NI_(GCL-IPL)_OD_mean","89.42857","88.25000","87.55556"
"NI_INL_OD_mean","41.42857","41.58333","40.22222"
"NI_ORT_OD_mean","120.9286","121.0000","116.5556"
"NO_TOT_OD_mean","306.5714","305.0000","299.4444"
"NO_NFL_OD_mean","49.57143","46.75000","47.00000"
"NO_(GCL-IPL)_OD_mean","61.42857","62.58333","62.22222"
"NO_INL_OD_mean","33.57143","32.66667","32.11111"
"NO_ORT_OD_mean","97.28571","97.91667","94.66667"
"II_TOT_OD_mean","335.2857","332.4167","326.8000"
"II_NFL_OD_mean","24.5","24.0","22.7"
"II_(GCL-IPL)_OD_mean","89.07143","88.08333","88.50000"
"II_INL_OD_mean","41.78571","39.91667","40.20000"
"II_ORT_OD_mean","114.6429","115.5000","111.5000"
"IO_TOT_OD_mean","283.4286","282.0833","277.8000"
"IO_NFL_OD_mean","38.28571","38.08333","36.80000"
"IO_(GCL-IPL)_OD_mean","58.92857","58.41667","57.10000"
"IO_INL_OD_mean","31.14286","30.41667","30.50000"
"IO_ORT_OD_mean","92.71429","91.25000","90.10000"
"TI_TOT_OD_mean","326.6667","323.8333","316.0000"
"TI_NFL_OD_mean","16.73333","17.25000","16.80000"
"TI_(GCL-IPL)_OD_mean","86.66667","84.66667","82.20000"
"TI_INL_OD_mean","38.66667","39.08333","37.40000"
"TI_ORT_OD_mean","118.6667","117.0833","115.5000"
"TO_TOT_OD_mean","275.4667","276.2500","273.2000"
"TO_NFL_OD_mean","18.80000","18.91667","18.30000"
"TO_(GCL-IPL)_OD_mean","63.20000","64.58333","63.70000"
"TO_INL_OD_mean","32.53333","32.25000","32.40000"
"TO_ORT_OD_mean","96.26667","95.33333","94.20000"
"CSF_TOT_OS_mean","278.4286","286.0000","264.8333"
"CSF_NFL_OS_mean","13.28571","14.50000","12.41667"
"CSF_(GCL-IPL)_OS_mean","38.64286","40.66667","33.50000"
"CSF_INL_OS_mean","21.78571","25.25000","19.91667"
"CSF_ORT_OS_mean","135.2857","136.0000","132.0000"
"SI_TOT_OS_mean","330.1429","335.8182","326.5000"
"SI_NFL_OS_mean","23.85714","23.54545","22.91667"
"SI_(GCL-IPL)_OS_mean","85.78571","86.63636","86.25000"
"SI_INL_OS_mean","41.71429","42.00000","40.00000"
"SI_ORT_OS_mean","113.9286","117.4545","112.7500"
"SO_TOT_OS_mean","286.1429","295.2727","286.0833"
"SO_NFL_OS_mean","37.92857","38.18182","37.25000"
"SO_(GCL-IPL)_OS_mean","55.85714","60.36364","58.00000"
"SO_INL_OS_mean","30.71429","31.18182","30.00000"
"SO_ORT_OS_mean"," 97.07143","100.09091"," 96.41667"
"NI_TOT_OS_mean","334.4286","336.9091","327.0000"
"NI_NFL_OS_mean","20.78571","23.45455","19.36364"
"NI_(GCL-IPL)_OS_mean","87.21429","86.00000","86.81818"
"NI_INL_OS_mean","41.85714","41.90909","39.18182"
"NI_ORT_OS_mean","118.7857","119.3636","116.8182"
"NO_TOS_OS_mean","298.7857","304.1818","294.7273"
"NO_NFL_OS_mean","48.50000","50.72727","47.90909"
"NO_GCL-IPL)_OS_mean","58.21429","59.45455","59.09091"
"NO_INL_OS_mean","33.07143","32.90909","31.81818"
"NO_ORT_OS_mean","88.26667","96.18182","92.09091"
"II_TOT_OS_mean","327.1429","329.9167","324.4167"
"II_NFL_OS_mean","23.78571","25.16667","23.50000"
"II_(GCL-IPL)_OS_mean","84.50000","82.08333","85.83333"
"II_INL_OS_mean","41.85714","41.50000","39.25000"
"II_ORT_OS_mean","112.2857","115.7500","112.5000"
"IO_TOT_OS_mean","279.3571","282.5000","277.0833"
"IO_NFL_OS_mean","37.92857","39.08333","38.00000"
"IO_(GCL-IPL)_OS_mean","56.28571","56.50000","56.50000"
"IO_INL_OS_mean","31.14286","30.00000","29.83333"
"IO_ORT_OS_mean","90.35714","92.16667","99.66667"
"TI_TOT_OS_mean","319.8571","323.1818","317.4167"
"TI_NFL_OS_mean","17.64286","18.45455","17.41667"
"TI_(GCL-IPL)_OS_mean","81.42857","80.00000","80.66667"
"TI_INL_OS_mean","37.14286","37.90909","35.25000"
"TI_ORT_OS_mean","117.7143","120.1818","117.6667"
"TO_TOT_OS_mean","275.5714","283.4545","276.5000"
"TO_NFL_OS_mean","19.71429","20.72727","19.83333"
"TO_(GCL-IPL)_OS_mean","62.28571","65.63636","63.16667"
"TO_INL_OS_mean","32.50000","32.63636","31.25000"
"TO_OR_OS_mean","96.50000","99.09091","95.83333"
"heart_rate_sd"," 7.905431","12.551711"," 7.916611"
"MAP_sd","11.694550","16.466357"," 9.591663"
"SBP_sd","25.42669","18.99442","20.37155"
"BMI_sd","7.602182","6.166127","3.949891"
"HbA1c_sd","0.2594064","1.1277156","0.2234373"
"BUN_sd","4.045059","5.213619","6.105139"
"Cr_sd","0.2264766","0.2480225","0.3450955"
"BUN/Cr_sd","3.816084","2.998737","5.033223"
"HDL_sd","22.35910","15.44197","17.68255"
"LDL_sd","29.01235","16.54489","27.75051"
"Triglycerides_sd","45.68817","43.13420","39.51485"
"Cholesterol_sd","41.57926","23.37620","27.78883"
"NEFA_sd","0.2284696","0.3132745","0.2202968"
"Glucose_sd","25.44691","28.32414","10.32736"
"Ketone_sd","0.36366183","0.06555474","0.04030894"
"Insulin_sd"," 9.110366","26.348271","36.499134"
"Adiponectin_sd","8.883801","9.339039","9.280763"
"Leptin_sd","22.59918","12.33036","10.42255"
"RAGE_sd","3.148879","8.984779","3.663867"
"CSF_TOT_OD_sd","35.28550","20.82757","11.38029"
"CSF_NFL_OD_sd","2.491892","2.037527","2.503331"
"CSF_(GCL-IPL)_OD_sd","11.213512"," 7.072675"," 5.050853"
"CSF_INL_OD_sd","7.038669","5.545268","6.746192"
"CSF_ORT_OD_sd","19.89568","13.62373","11.41344"
"SI_TOT_OD_sd","16.47018","16.77367","16.62963"
"SI_NFL_OD_sd","4.096456","3.028901","1.728840"
"SI_(GCL-IPL)_OD_sd","9.391993","9.298094","7.645623"
"SI_INL_OD_sd","4.257207","4.679905","4.526465"
"SI_ORT_OD_sd","9.687007","7.234178","7.211873"
"SO_TOT_OD_sd","12.74400","14.52975","15.13825"
"SO_NFL_OD_sd","6.710333","3.725425","2.960856"
"SO_(GCL-IPL)_OD_sd","5.938574","5.664215","5.321863"
"SO_INL_OD_sd","2.007130","2.022600","2.790858"
"SO_ORT_OD_sd","7.558029","7.749878","8.553752"
"NI_TOT_OD_sd","20.50208","15.28789","15.67996"
"NI_NFL_OD_sd","4.598734","1.928652","2.179449"
"NI_(GCL-IPL)_OD_sd","10.725342"," 8.400487"," 8.323327"
"NI_INL_OD_sd","4.449966","4.944388","6.016182"
"NI_ORT_OD_sd","10.484159"," 8.168676"," 7.001984"
"NO_TOT_OD_sd","18.19431","15.36229","13.60249"
"NO_NFL_OD_sd","7.470087","5.940998","4.690416"
"NO_(GCL-IPL)_OD_sd","8.563916","6.501165","4.841946"
"NO_INL_OD_sd","2.680823","2.015095","2.027588"
"NO_ORT_OD_sd","8.818063","9.238834","9.578622"
"II_TOT_OD_sd","20.05542","17.46403","16.01943"
"II_NFL_OD_sd","4.127767","3.190896","2.213594"
"II_(GCL-IPL)_OD_sd","11.323660"," 8.596599"," 8.045012"
"II_INL_OD_sd","4.117104","4.907477","3.765339"
"II_ORT_OD_sd","9.660444","7.716570","8.822320"
"IO_TOT_OD_sd","14.88786","15.18647","17.79388"
"IO_NFL_OD_sd","7.268780","5.264950","8.508819"
"IO_(GCL-IPL)_OD_sd","6.955510","6.359793","6.045200"
"IO_INL_OD_sd","2.070197","2.274696","3.171050"
"IO_ORT_OD_sd","7.770047","8.225515","9.170605"
"TI_TOT_OD_sd","21.25245","16.92139","16.52607"
"TI_NFL_OD_sd","2.463060","1.912875","1.135292"
"TI_(GCL-IPL)_OD_sd","11.555250"," 9.354953"," 9.647107"
"TI_INL_OD_sd","3.976119","5.053502","3.893014"
"TI_ORT_OD_sd","9.393513","5.915439","7.531416"
"TO_TOT_OD_sd","12.33964","14.14294","18.58195"
"TO_NFL_OD_sd","2.336053","1.831955","1.636392"
"TO_(GCL-IPL)_OD_sd","5.334524","6.200562","7.165504"
"TO_INL_OD_sd","2.503331","2.301185","3.134042"
"TO_ORT_OD_sd","8.163216","7.075352","8.941787"
"CSF_TOT_OS_sd","21.06296","30.51378","20.68303"
"CSF_NFL_OS_sd","2.163636","6.612660","1.975225"
"CSF_(GCL-IPL)_OS_sd"," 7.611804","17.849540"," 7.403930"
"CSF_INL_OS_sd","4.964157","7.059809","5.775471"
"CSF_ORT_OS_sd","10.31376","11.39378","13.40285"
"SI_TOT_OS_sd","12.15197","14.29558","10.16679"
"SI_NFL_OS_sd","3.109715","3.531675","2.678478"
"SI_(GCL-IPL)_OS_sd","7.234305","8.151966","6.552238"
"SI_INL_OS_sd","4.268463","5.744563","3.104249"
"SI_ORT_OS_sd","10.049602"," 9.842394"," 8.080560"
"SO_TOT_OS_sd","10.067901","20.533343"," 9.802211"
"SO_NFL_OS_sd","7.415828","5.437245","3.768892"
"SO_(GCL-IPL)_OS_sd","4.817550","7.159228","4.690416"
"SO_INL_OS_sd","2.812843","2.821992","2.044949"
"SO_ORT_OS_sd"," 8.222523","10.133652"," 6.402533"
"NI_TOT_OS_sd","14.11336","13.16400","10.30534"
"NI_NFL_OS_sd","2.006856","8.430464","2.730301"
"NI_(GCL-IPL)_OS_sd"," 7.637746","10.334409"," 7.652688"
"NI_INL_OS_sd","4.896736","6.057302","2.713602"
"NI_ORT_OS_sd","8.980137","9.982712","9.568889"
"NO_TOS_OS_sd","13.486053","18.015650"," 7.603827"
"NO_NFL_OS_sd"," 7.046549","13.557956"," 6.057302"
"NO_GCL-IPL)_OS_sd","4.995052","6.919012","4.253341"
"NO_INL_OS_sd","2.615465","4.657350","2.272364"
"NO_ORT_OS_sd","25.808267","13.570690"," 6.564367"
"II_TOT_OS_sd","14.65951","14.93902","11.09839"
"II_NFL_OS_sd","3.641187","7.673251","2.067058"
"II_(GCL-IPL)_OS_sd","7.572724","9.307459","6.562058"
"II_INL_OS_sd","4.452435","5.728716","2.895922"
"II_ORT_OS_sd","10.373254"," 9.696532","10.638694"
"IO_TOT_OS_sd","12.38862","16.54471","12.19880"
"IO_NFL_OS_sd","6.509925","9.159777","4.177864"
"IO_(GCL-IPL)_OS_sd","4.842577","7.452882","4.641708"
"IO_INL_OS_sd","1.561909","2.796101","2.249579"
"IO_ORT_OS_sd"," 7.550926","10.861386","33.399329"
"TI_TOT_OS_sd","13.69367","14.81093","13.54762"
"TI_NFL_OS_sd","1.6458406","3.3574882","0.9962049"
"TI_(GCL-IPL)_OS_sd","8.083357","8.921883","7.655460"
"TI_INL_OS_sd","3.899845","4.085451","3.792936"
"TI_ORT_OS_sd"," 8.712754"," 6.968761","12.160542"
"TO_TOT_OS_sd","12.53128","17.55200","15.30597"
"TO_NFL_OS_sd","1.540658","3.258555","1.337116"
"TO_(GCL-IPL)_OS_sd","5.209881","7.352180","5.718126"
"TO_INL_OS_sd","2.312175","2.062655","2.005674"
"TO_OR_OS_sd","8.492078","8.848215","8.674239"
